Subnet;Name;IP Address;Type;NE Category;Version;Patch;Manufacturer;Timezone;Synchronization Complete At;Maintained By;Used On;Expiration Date;Create Time;Asset manager;Asset No;Purchased on;Remarks
/МР Москва/R77 Москва;R77-102240-SW-1;10.252.25.18;S5720-28X-PWR-SI-AC;Switch;VRP5.17 V200R010C00SPC600;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-08 02:25:48;;;;2017-04-27 08:57:07;;;;
/МР Москва/R77 Москва;R77-102240-RT-2;10.252.25.17;AR2240C;Router;VRP5.16 V200R007C00SPCb00;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:38:30;;;;2017-04-27 08:56:17;;;;
/МР Москва/R77 Москва;R77-102300-RT-1;10.252.25.4;AR2240C;Router;VRP5.16 V200R007C00SPCb00;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:38:31;;;;2017-05-16 13:09:18;;;;
/МР Москва/R77 Москва;R77-102221-RT-2;10.252.25.21;AR2240C;Router;VRP5.16 V200R007C00SPCb00;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:38:31;;;;2017-04-13 12:26:05;;;;
/МР Северо-Запад/R78 Санкт-Петербург и Лен.область;R78-196627-RT-01;10.46.207.21;AR1220EV;Router;VRP5.16 V200R006C10SPC300PWE;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:38:31;;;;2017-03-28 11:25:25;;;;
/МР Москва/R77 Москва;R77-102100-RT-1;10.252.25.28;AR2240C;Router;VRP5.16 V200R007C00SPCb00;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:38:31;;;;2017-04-17 13:19:47;;;;
/МР Москва/R77 Москва;R77-102240-RT-1;10.252.25.16;AR2240C;Router;VRP5.16 V200R007C00SPCb00;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:38:30;;;;2017-04-27 08:55:19;;;;
/МР Москва/R77 Москва;R77-102300-RT-2;10.252.25.7;AR2240C;Router;VRP5.16 V200R007C00SPCb00;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:38:31;;;;2017-05-16 13:09:30;;;;
/МР Москва/R77 Москва;R77-102300-SW-1;10.252.25.8;S5720-28X-PWR-SI-AC;Switch;VRP5.17 V200R010C00SPC600;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:56:46;;;;2017-05-16 13:09:51;;;;
/МР Москва/R77 Москва;R77-107140-SW-1;10.252.25.6;S5720-28X-PWR-SI-AC;Switch;VRP5.17 V200R010C00SPC600;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-07 02:44:20;;;;2017-03-14 16:40:14;;;;
/МР Москва/R77 Москва;R77-107140-RT-2;10.252.25.5;AR2240C;Router;VRP5.16 V200R007C00SPC900PWE;ARV200R007SPH001;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:38:31;;;;2017-03-14 16:46:47;;;;
/МР Москва/R77 Москва;R77-107140-RT-1;10.252.25.1;AR2240C;Router;VRP5.16 V200R007C00SPC900PWE;ARV200R007SPH001;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:38:30;;;;2017-03-14 16:47:39;;;;
